Fecha,Total_Raw,Total_Consistent,Via_Aerea,Via_Terrestre,Via_Maritima,Pais_El Salvador,Pais_Guatemala,Pais_Estados Unidos de América
2009-01-01,183505.5905347593,149944.02934517286,81693.0,88433.5905347593,13379.0,31607.410534759358,57050.999999999956,24276.0
2009-02-01,149426.2539075136,127303.6922033775,70099.0,67653.25390751359,11674.000000000002,26611.326959578215,40957.0,24064.0
2009-03-01,174237.2270951157,158795.67381860287,84494.0,78221.2270951157,11522.0,34552.77000000002,49421.000000000015,30701.0
2009-04-01,182842.4899173554,172013.46769401644,80618.0,92934.4899173554,9289.999999999998,35533.330000000016,58298.900826446275,26838.0
2009-05-01,133194.66765069554,124559.52435069307,64621.0,62056.667650695555,6517.0,27173.817650695546,44299.00000000001,22039.0
2009-06-01,156292.12857142845,151442.80337827274,81500.0,73950.12857142845,842.0,30127.639999999996,52952.999999999905,32682.428571428572
2009-07-01,140089.27569229022,137616.9517422195,74818.0,64156.27569229022,1115.0,26910.130000000012,56933.6813655761,22039.0
2009-08-01,189382.18837563434,179344.0418037644,76026.0,104657.18837563434,8699.0,54797.80999999985,52551.99999999997,26116.0
2009-09-01,135790.18845637582,132791.13353560158,61974.0,73045.18845637582,771.0,35011.46000000001,48463.26845637582,14624.0
2009-10-01,156825.96666666667,153153.6097868689,72950.0,83029.96666666669,846.0,40960.62,56913.00000000001,18819.0
2009-11-01,189158.16000000012,173623.2729586916,82455.0,93790.16000000013,12913.0,44545.55000000012,66126.00000000001,20356.0
2009-12-01,238031.58770897836,219594.65119713946,104131.0,117764.58770897836,16135.999999999998,50437.480000000025,84440.37770897834,31722.0
2010-01-01,199130.9858823529,162333.26551165638,85216.0,99581.98588235289,14333.0,39775.049999999996,65897.99999999996,25731.95588235294
2010-02-01,152599.55714285714,132527.46022602476,69352.0,76014.55714285714,7233.0,34381.22,43017.0,23443.85714285714
2010-03-01,176632.7872462976,163351.09275954103,88849.0,77503.78724629761,10280.0,20923.977591125204,55524.0,34880.68965517241
2010-04-01,179655.10000000006,170870.90530317114,76466.0,96497.10000000006,6692.0,42042.620000000046,60665.00000000001,23471.0
2010-05-01,146392.53513761464,141291.6089476861,65070.0,79094.53513761464,2228.0,33877.86999999997,49681.0,20524.669724770643
2010-06-01,160401.53999999995,155468.9470746268,84570.0,74888.53999999995,943.0,32194.51999999998,54680.99999999998,34560.5
2010-07-01,203255.90921084874,199667.83285998116,102317.0,99950.90921084872,988.0,41154.26304347823,63377.99999999999,39975.85365853659
2010-08-01,192892.4358336446,183931.0306162957,79180.0,106249.43583364459,7463.0,53267.48148325358,55161.000000000015,26965.91891891892
2010-09-01,133847.88865537662,130760.34969839199,62853.0,70280.8886553766,714.0,33235.00892086333,48625.00000000001,14759.72389380531
2010-10-01,166234.54099203463,157632.1243212268,76272.0,84744.54099203461,5218.0,42160.61000000003,59540.0,19570.5766834207
2010-11-01,193720.08842105273,179538.33569674406,84445.0,97709.08842105274,11566.0,46097.57000000012,68399.99999999999,21201.868421052633
2010-12-01,248135.48519124987,227411.04636668903,99643.0,130987.48519124987,17505.0,58173.65999999998,89533.0,29323.479169652877
2011-01-01,199120.59029411766,169708.55722701532,81827.0,110644.59029411766,6649.0,48827.31,66701.00000000003,23994.477941176472
2011-02-01,160806.84761904762,139869.86559086668,69199.0,83028.8476190476,8579.0,39053.600000000006,45452.999999999985,23103.214285714286
2011-03-01,182584.30508188406,169957.79100865728,77868.0,96708.30508188406,8008.0,47393.708732171166,51253.999999999985,29279.25201666519
2011-04-01,211761.74419302514,191655.76499508988,77120.0,117307.74419302512,17334.0,53731.33,66610.99999999999,26254.472222222223
