Serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Total_Consistent,0.08292248447228234,0.34281341104466095,8.965199777621372,3.0,0.3523065029655844,-0.06230299556284001,0.9330143540669856,30.0,0.013774104683195593,11.0,0.3173192716367778,2.0,0.05555555555555555,0.20952380952380964,0.32380952380952394,0.8241477566739235,6.0,1.8518419905565255,0.8333333333333334,0.8571428571428571,0.1227184630308513,0.6274001516702792
Via_Aerea,-0.40865685012365716,-0.12311282850839722,6.436692282820491,10.0,0.2073460264130389,-0.17618083199110834,0.9617224880382775,34.0,0.010204081632653059,11.0,0.19841068316438903,9.0,0.07142857142857142,0.18571428571428583,0.32380952380952394,0.7595054591182935,5.0,1.9866572963341218,0.8571428571428571,0.8571428571428571,0.1718058482431918,0.7447993706000322
Via_Terrestre,-0.548366633356493,-0.7834414257362066,8.996925436125805,3.0,0.5374755767532016,-0.0884639062625815,0.9090909090909091,30.0,0.005509641873278237,3.0,0.30069063616306935,2.0,0.05555555555555555,0.25714285714285723,0.30952380952380965,0.8381531268117022,6.0,1.768209299399012,0.7619047619047619,0.8333333333333334,0.1227184630308513,0.605982656063002
Via_Maritima,-0.47912527431469853,-0.7064802833176298,2.6267521546183046,6.0,0.13304963639286724,-0.09001571250437398,0.7607655502392344,9.0,0.0077334919690660335,11.0,0.15751763160070595,4.0,0.2,0.03333333333333342,0.47619047619047633,0.7358632150953703,23.0,1.9430112097754844,0.8333333333333334,0.14285714285714285,0.5154175447295755,0.8813219914086252
Pais_El Salvador,-0.38063229948434796,-0.6078444852717553,13.93655312700774,2.0,0.45299308989145504,-0.03340480451381215,0.9234449760765551,50.0,0.046296296296296294,3.0,0.28888832558925504,1.0,0.029411764705882353,0.7285714285714288,-0.45238095238095233,0.8664249081698933,10.0,1.7811651074029462,0.14285714285714285,0.8571428571428571,0.07363107781851078,0.5237901687076523
Pais_Guatemala,-0.7104853516552639,-0.8829648010559925,17.57501501779926,23.0,0.7468299981166079,7.08204009264955e-05,0.7320574162679426,51.0,0.046296296296296294,47.0,0.5498764612991232,9.0,0.029411764705882353,0.7476190476190477,-0.4619047619047619,0.9367794564082631,6.0,1.6701022947654374,0.8571428571428571,0.8571428571428571,0.04908738521234052,0.37124567040717094
Pais_Estados Unidos de América,-0.610440153125811,-0.35088585164580344,9.37623590702802,2.0,0.2538748778263265,0.02116666919493774,0.9473684210526315,12.0,0.020833333333333336,5.0,0.2688502072672094,1.0,0.038461538461538464,0.8285714285714287,0.3000000000000001,0.7198447792645977,10.0,1.973228305888631,0.16666666666666666,0.14285714285714285,0.09817477042468103,0.748762649553473
