Serie,LSTM_Ej1_RMSE_MS,Catch22_LSTM_RMSE_MS,Mejora_MS_%,LSTM_Ej1_RMSE_OS,Catch22_LSTM_RMSE_OS,Mejora_OS_%
Total_Consistent,182469.15,175856.54,3.62,59698.34,73180.4,-22.58
Via_Aerea,31803.33,43345.42,-36.29,17035.82,19683.03,-15.54
