Caracteristica,PC1,PC2
DN_HistogramMode_5,0.08659612587191762,0.2034025985575027
DN_HistogramMode_10,0.10497203794829599,0.24722382729239142
CO_f1ecac,-0.29374959210729784,0.0731387171855261
CO_FirstMin_ac,-0.18334839377267423,-0.3340523269589566
CO_HistogramAMI_even_2_5,-0.28080549696699464,-0.04108839646728223
CO_trev_1_num,-0.146698896919203,0.09363930153226704
MD_hrv_classic_pnn40,0.08292799299052897,0.42954999120644877
SB_BinaryStats_mean_longstretch1,-0.25892687278989807,0.04097283802060248
SB_TransitionMatrix_3ac_sumdiagcov,-0.24732889160885246,0.03264033860504163
PD_PeriodicityWang_th0_01,-0.1993817315570457,-0.30813062590464824
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.27815683878360564,-0.0734534148115146
IN_AutoMutualInfoStats_40_gaussian_fmmi,-0.08323869087609079,-0.31941157446069507
FC_LocalSimple_mean1_tauresrat,0.2180261324141145,-0.30325744977713065
DN_OutlierInclude_p_001_mdrmd,-0.19983821751207878,0.17311883664565592
DN_OutlierInclude_n_001_mdrmd,0.2683532939562626,-0.012611322268401422
SP_Summaries_welch_rect_area_5_1,-0.2749090613056598,-0.05592934348380594
SB_BinaryStats_diff_longstretch0,0.17012825166471612,-0.2223284145268826
SB_MotifThree_quantile_hh,0.25915695544874195,0.07075716917128878
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.023763222788926924,-0.32989006840727436
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,-0.1826893832467995,0.0916722214173396
SP_Summaries_welch_rect_centroid,0.22358783103910718,-0.28734316371709334
FC_LocalSimple_mean3_stderr,0.29489444477678506,-0.03215213414831244
