Caracteristica,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
DN_HistogramMode_5,1.0,0.8408947491461438,-0.2620554410323809,-0.4527821660737091,-0.3080439648113343,-0.2867437208498242,0.43610376766555065,-0.019807627151389867,-0.2676410588345138,-0.35280437158688455,-0.26724890132341667,-0.30938732387968804,0.03202401577450539,-0.446418909444402,0.28105241335404696,-0.08314103586637621,-0.12638185970690533,0.18436846512619248,0.15693012210145194,0.29603322295792467,0.02570189983825149,0.14825681081553482
DN_HistogramMode_10,0.8408947491461438,1.0,-0.2926340944695275,-0.36409997401287,-0.4509803968368058,-0.2599050547701943,0.6267047121397645,-0.1721416570098849,-0.34093848544124306,-0.3058582976620498,-0.2829199215952181,-0.13709619449353358,-0.11885143794717715,-0.281086176517311,0.4192060393936928,-0.336843114020984,-0.3063989090320827,0.48086076583538256,0.0831994578338527,0.14194174153678135,-0.11794156522814095,0.27274700812530467
CO_f1ecac,-0.2620554410323809,-0.2926340944695275,1.0,0.49283029472273326,0.8788677835387185,0.6094950609563624,-0.17736101944155644,0.8174871551321797,0.878952146716111,0.5706896953507525,0.8902239598441228,0.13675530325460974,-0.7914051042701471,0.7871462250781497,-0.910250282840274,0.847533577552246,-0.5498930542114346,-0.7996653645708575,-0.26427074979358145,0.5250032538103644,-0.799209315339691,-0.9547104176227769
CO_FirstMin_ac,-0.4527821660737091,-0.36409997401287,0.49283029472273326,1.0,0.5492820072455002,0.07526690618377345,-0.6727119754591759,0.4785959308573564,0.4357620488969456,0.9604362931720927,0.6935049292632461,0.8670071810000344,-0.10904941343266461,0.18921268059481788,-0.4780526750758321,0.5479987960903882,-0.2077373896659565,-0.4588729230150182,0.4983401853155875,0.2768369568557812,-0.14479416003399617,-0.523535486617961
CO_HistogramAMI_even_2_5,-0.3080439648113343,-0.4509803968368058,0.8788677835387185,0.5492820072455002,1.0,0.4369284799588196,-0.3433288562910586,0.7584810960499399,0.6234641891751482,0.6115471276142909,0.9184515706973518,0.1914790566962131,-0.6270561469990306,0.4946758700872302,-0.7433621735619619,0.934696787092496,-0.534908176416848,-0.9541139158869613,0.07525391054038445,0.6049587309278517,-0.6572686459418148,-0.9520769806286166
CO_trev_1_num,-0.2867437208498242,-0.2599050547701943,0.6094950609563624,0.07526690618377345,0.4369284799588196,1.0,-0.2454996937068617,0.07785573145892667,0.6157193174547708,0.2794709343555536,0.5676810775505404,-0.3850004084324236,-0.40914268279519433,0.8100473374526944,-0.4829231632421306,0.2942184140225948,0.027289055512759987,-0.39938684551354803,-0.5626729969606761,-0.27543898146423745,-0.3932582280222897,-0.4348255832175506
MD_hrv_classic_pnn40,0.43610376766555065,0.6267047121397645,-0.17736101944155644,-0.6727119754591759,-0.3433288562910586,-0.2454996937068617,1.0,-0.06772719320379404,-0.28145024491233983,-0.7270452057062877,-0.42332975722701455,-0.4129911790364593,-0.4274777104444413,0.018801111636451356,0.28588077496512776,-0.36718549343000956,-0.47506842439792774,0.4398816961382349,-0.41431939345394675,0.19434294647143088,-0.40096612684462124,0.2137827550193491
SB_BinaryStats_mean_longstretch1,-0.019807627151389867,-0.1721416570098849,0.8174871551321797,0.4785959308573564,0.7584810960499399,0.07785573145892667,-0.06772719320379404,1.0,0.7332198084548969,0.4547772808695443,0.6626960878888021,0.3394722981435069,-0.6451328094131944,0.39770488921660746,-0.8586718307856203,0.8810029658218222,-0.6000547392369572,-0.7453120534725189,-0.0009406695661393627,0.8531645007827577,-0.6612565682931427,-0.8854548122388781
SB_TransitionMatrix_3ac_sumdiagcov,-0.2676410588345138,-0.34093848544124306,0.878952146716111,0.4357620488969456,0.6234641891751482,0.6157193174547708,-0.28145024491233983,0.7332198084548969,1.0,0.505712117148315,0.6715982903239041,0.11307883992840602,-0.5447497430303115,0.7996133400109982,-0.9668626903295593,0.6841820172580686,-0.1896427360503473,-0.6139714272837243,-0.4347131190704613,0.2928209171799827,-0.5333221341026856,-0.7621690008282549
PD_PeriodicityWang_th0_01,-0.35280437158688455,-0.3058582976620498,0.5706896953507525,0.9604362931720927,0.6115471276142909,0.2794709343555536,-0.7270452057062877,0.4547772808695443,0.505712117148315,1.0,0.8000913306700806,0.7214373985478729,-0.14590202156511342,0.26587483514585075,-0.5145769642632204,0.610339926465477,-0.17750674982530903,-0.5452903507274807,0.4477951888315601,0.22992492336417128,-0.1825968950861895,-0.5913382931674518
